year,subcomponent,value_low,value_mid,value_high,anchor,source
2019,S1,0.02,0.05,0.08,GPT-2 no agentic capability,Mialon et al. 2023 retro
2021,S1,0.07,0.10,0.14,InstructGPT single-step,OpenAI / METR
2022,S1,0.12,0.15,0.20,ChatGPT tool-aware chat,OpenAI / Anthropic technical reports
2023,S1,0.16,0.20,0.26,GAIA L1 ~30% / L2 ~10%,Mialon et al. 2023
2024,S1,0.24,0.30,0.38,METR autonomous task horizon ~30 min,METR 2025 retro
2025,S1,0.36,0.45,0.55,METR ~1-2 h; SWE-bench-Verified ~55%,METR 2025; SWE-bench leaderboard
2020,S2,0.02,0.05,0.08,Manual retraining workflows,Uptime Institute archive
2023,S2,0.10,0.15,0.20,Automated retraining pipelines emerging,Anthropic / OpenAI infra disclosures
2025,S2,0.16,0.22,0.28,Self-healing orchestration emerging,Uptime Institute 2024
2023,S3,0.005,0.010,0.018,Kinniment et al. baseline ARA evals,Kinniment et al. 2024
2024,S3,0.010,0.020,0.030,Modest progress on software-resource sub-tasks,UK AISI 2024
2025,S3,0.015,0.030,0.050,Apollo / AISI 2025 ARA frontier evals,Apollo Research 2025; UK AISI 2025
